"id","name","display_name","term_level","term_order","taxonomy_id","parent_id","created_by","created_date","last_modified_by","last_modified_date"
1030,"meal-deals","Food & Drink Deals",0,1,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1011,"spa-deals","Spa & Beauty Deals",0,2,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1012,"entertainment-deals","Entertainment Deals",0,3,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1013,"travel-deals","Travel Deals",0,4,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1001,"mens-fashion","Men's Fashion",0,5,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1002,"womens-fashion","Women's Fashion",0,6,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1004,"mobile-tablet","Mobile & Tablet",0,7,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1005,"computer","Computer",0,8,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1006,"camera-tv","Camera & TV",0,9,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1007,"home-living","Home & Living",0,10,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1008,"mom-kids","Mom & Kids",0,11,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1009,"health-beauty","Health & Beauty",0,12,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1010,"sport","Sport",0,13,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1014,"others","Others",0,14,1001,"null","liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1467,"barbecue","Barbecue",1,999,1001,1030,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1473,"Weight-loss","Weight Loss",1,999,1001,1011,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
1477,"dental","Dental",1,999,1001,1011,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
