"id","meta_key","meta_value","term_id","created_by","created_date","last_modified_by","last_modified_date"
4589,"displayName.zh-cn","Entertainment",1614,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4590,"displayName.zh-cn","Training",1615,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4591,"displayName.zh-cn","Clinic",1616,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4592,"displayName.zh-cn","Nail Care",1617,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4593,"displayName.zh-cn","Stationery",1618,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4594,"displayName.zh-cn","Vehicle Accessories",1619,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4595,"displayName.zh-cn","Clothing Set",1620,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4596,"displayName.zh-cn","Couple Shirt",1621,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4597,"displayName.zh-cn","Sportswear",1622,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4598,"displayName.zh-cn","Clothing Set",1623,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4599,"displayName.zh-cn","Couple Shirt",1624,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4600,"displayName.zh-cn","Sportswear",1625,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4601,"displayName.zh-cn","Ballet Flats",1626,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4602,"displayName.zh-cn","Office Bags",1627,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4603,"displayName.zh-cn","Convenience Bags",1628,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4604,"displayName.zh-cn","Tote Bags",1629,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4605,"displayName.zh-cn","Motor Accessories",1630,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4606,"displayName.zh-cn","Car Accessories",1631,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4607,"displayName.zh-cn","Bike & Accessories",1632,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
4608,"displayName.zh-cn","Helmet",1633,"liquibase","2017-02-13T04:46:06.349Z","liquibase","2017-02-13T04:46:06.349Z"
