"id","code","in_country","out_country","district_id"
"5807","761205","Lộc Bảo","Loc Bao","394"
"5808","761207","Lộc Lâm","Loc Lam","394"
"5809","761210","Lộc Phú","Loc Phu","394"
"5810","761204","Lộc Bắc","Loc Bac","394"
"5811","761202","B' Lá","B' La","394"
"5812","761209","Lộc Ngãi","Loc Ngai","394"
"5813","761211","Lộc Quảng","Loc Quang","394"
"5814","761212","Lộc Tân","Loc Tan","394"
"5815","761206","Lộc Đức","Loc Duc","394"
"5816","761203","Lộc An","Loc An","394"
"5817","761214","Tân Lạc","Tan Lac","394"
"5818","761213","Lộc Thành","Loc Thanh","394"
"5819","761208","Lộc Nam","Loc Nam","394"
