id,display_value,created_by
1001,Af-Soomaali,"system"
1002,Afrikaans,"system"
1003,Azərbaycan dili,"system"
1004,Bahasa Indonesia,"system"
1005,Bahasa Melayu,"system"
1006,Bisaya,"system"
1007,Bosanski,"system"
1008,Brezhoneg,"system"
1009,Català,"system"
1010,Čeština,"system"
1011,Corsu,"system"
1012,Cymraeg,"system"
1013,Dansk,"system"
1014,Deutsch,"system"
1015,Eesti,"system"
1016,English,"system"
1017,Español,"system"
1018,Esperanto,"system"
1019,Euskara,"system"
1020,Filipino,"system"
1021,Føroyskt,"system"
1022,Français,"system"
1023,Frysk,"system"
1024,Gaeilge,"system"
1025,Galego,"system"
1026,Guarani,"system"
1027,Hausa,"system"
1028,Hrvatski,"system"
1029,Ikinyarwanda,"system"
1030,Íslenska,"system"
1031,Italiano,"system"
1032,Kiswahili,"system"
1033,Kurdî,"system"
1034,Latviešu,"system"
1035,Leet Speak,"system"
1036,Lietuvių,"system"
1037,lingua latina,"system"
1038,Magyar,"system"
1039,Malagasy,"system"
1040,Malti,"system"
1041,Nederlands,"system"
1042,O'zbek,"system"
1043,Polski,"system"
1044,Português,"system"
1045,Pulaar,"system"
1046,Română,"system"
1047,Sardu,"system"
1048,Shqip,"system"
1049,ślōnskŏ gŏdka,"system"
1050,Slovenčina,"system"
1051,Slovenščina,"system"
1052,Suomi,"system"
1053,Svenska,"system"
1054,Tiếng Việt,"system"
1055,Türkçe,"system"
1056,Ελληνικά,"system"
1057,Беларуская,"system"
1058,Български,"system"
1059,Қазақша,"system"
1060,Македонски,"system"
1061,Монгол,"system"
1062,Русский,"system"
1063,Српски,"system"
1064,Тоҷикӣ,"system"
1065,Українська,"system"
1066,ქართული,"system"
1067,Հայերեն,"system"
1068,‏עברית,"system"
1069,‏اردو‏,"system"
1070,‏العربية,"system"
1071,پښتو,"system"
1072,‏کوردیی ناوەندی,"system"
1073,हिन्दी,"system"
1074,বাংলা,"system"
1075,తెలుగు,"system"
1076,മലയാളം,"system"
1077,ગુજરાતી,"system"
1078,ଓଡ଼ିଆ,"system"
1079,ಕನ್ನಡ,"system"
1080,മലയാളം,"system"
1081,සිංහල,"system"
1082,ภาษาไทย,"system"
1083, မြန်မာဘာသာ,"system"
1084,ភាសាខ្មែរ,"system"
1085,한국어,"system"
1086,中文(台灣),"system"
1087,中文(简体),"system"
1088,中文(香港),"system"
1089,日本語,"system"
1090,日本語(関西),"system"
